month,asset_type,view,posts,reach,impressions,engagements,clicks,engagement_rate
2026-05,Graphics Carousel,overall,3,1507,1886,41.0,367.0,0.027206370272063702
2026-05,Photo Carousel,overall,4,14572,15669,116.0,937.0,0.007960472138347515
2026-05,Single Photo,overall,7,4016,5884,130.0,316.0,0.03237051792828685
2026-05,Video Short,overall,15,6756,8687,200.0,463.0,0.02960331557134399
