month,program,posts,reach,impressions,engagements,clicks,engagement_rate
2026-01,Cervical Cancer,3,986,986,17.0,168.0,0.017241379310344827
2026-01,HPV,6,2342,2342,55.0,489.0,0.023484201537147736
2026-01,Influenza,1,96,96,0.0,0.0,0.0
2026-01,Marburg,1,96,96,0.0,0.0,0.0
2026-01,Measles,1,1250,1250,4.0,26.0,0.0032
2026-01,Typhoid,1,77,77,0.0,0.0,0.0
