month,post_id,post_date,platform,post_url,tag_name,tag_category,report_dimension,reporting_priority,reach,impressions,clicks,engagement_rate,engagements_total
2026-03,205183899497146_1358796976281364,2026-03-18 23:00:49,facebook,https://www.facebook.com/reel/906618915342959/,Video Short,Asset Type,content_format,low,136,139,0,2.21,0.0
2026-03,205183899497146_1358796976281364,2026-03-18 23:00:49,facebook,https://www.facebook.com/reel/906618915342959/,Malaria,Disease Area,program,high,136,139,0,2.21,0.0
2026-03,205183899497146_1358796976281364,2026-03-18 23:00:49,facebook,https://www.facebook.com/reel/906618915342959/,Sabin Global Immunization,Team,team,medium,136,139,0,2.21,0.0
2026-03,205183899497146_1358796976281364,2026-03-18 23:00:49,facebook,https://www.facebook.com/reel/906618915342959/,VAD/VARN,Team,team,medium,136,139,0,2.21,0.0
2026-03,205183899497146_1359545029539892,2026-03-19 19:38:24,facebook,https://www.facebook.com/368989981928740/posts/1359545029539892,,,,,97,138,1,4.12,0.0
2026-03,205183899497146_1359545029539892,2026-03-19 19:38:24,facebook,https://www.facebook.com/368989981928740/posts/1359545029539892,Single Photo,Asset Type,content_format,low,97,138,1,4.12,0.0
2026-03,205183899497146_1359545029539892,2026-03-19 19:38:24,facebook,https://www.facebook.com/368989981928740/posts/1359545029539892,,,,,97,138,1,4.12,0.0
2026-03,205183899497146_1359545029539892,2026-03-19 19:38:24,facebook,https://www.facebook.com/368989981928740/posts/1359545029539892,Sabin Global Immunization,Team,team,medium,97,138,1,4.12,0.0
2026-03,205183899497146_1363208169173578,2026-03-23 17:39:24,facebook,https://www.facebook.com/368989981928740/posts/1363208169173578,,,,,106,187,0,1.89,1.0
2026-03,205183899497146_1363208169173578,2026-03-23 17:39:24,facebook,https://www.facebook.com/368989981928740/posts/1363208169173578,Single Photo,Asset Type,content_format,low,106,187,0,1.89,1.0
2026-03,205183899497146_1363208169173578,2026-03-23 17:39:24,facebook,https://www.facebook.com/368989981928740/posts/1363208169173578,,,,,106,187,0,1.89,1.0
2026-03,205183899497146_1363581105802951,2026-03-24 05:00:14,facebook,https://www.facebook.com/368989981928740/posts/1363581105802951,,,,,3108,5828,161,6.63,15.0
2026-03,205183899497146_1363581105802951,2026-03-24 05:00:14,facebook,https://www.facebook.com/368989981928740/posts/1363581105802951,,,,,3108,5828,161,6.63,15.0
2026-03,205183899497146_1363581105802951,2026-03-24 05:00:14,facebook,https://www.facebook.com/368989981928740/posts/1363581105802951,,,,,3108,5828,161,6.63,15.0
2026-03,205183899497146_1364451502382578,2026-03-25 05:55:13,facebook,https://www.facebook.com/368989981928740/posts/1364451502382578,,,,,296,424,3,1.69,0.0
2026-03,205183899497146_1364451502382578,2026-03-25 05:55:13,facebook,https://www.facebook.com/368989981928740/posts/1364451502382578,Webinar,Promo Content,content_type,medium,296,424,3,1.69,0.0
2026-03,205183899497146_1364451502382578,2026-03-25 05:55:13,facebook,https://www.facebook.com/368989981928740/posts/1364451502382578,GCE/Boost,Team,team,medium,296,424,3,1.69,0.0
2026-03,205183899497146_1364451502382578,2026-03-25 05:55:13,facebook,https://www.facebook.com/368989981928740/posts/1364451502382578,Sabin Global Immunization,Team,team,medium,296,424,3,1.69,0.0
2026-03,205183899497146_1365604195600642,2026-03-26 13:00:08,facebook,https://www.facebook.com/368989981928740/posts/1365604195600642,Typhoid,Disease Area,program,high,178,279,15,13.48,2.0
2026-03,205183899497146_1365604195600642,2026-03-26 13:00:08,facebook,https://www.facebook.com/368989981928740/posts/1365604195600642,Take On Typhoid/TyVAC,Partner,partner,low,178,279,15,13.48,2.0
2026-03,205183899497146_1365604195600642,2026-03-26 13:00:08,facebook,https://www.facebook.com/368989981928740/posts/1365604195600642,,,,,178,279,15,13.48,2.0
2026-03,205183899497146_1369220498572345,2026-03-30 20:16:21,facebook,https://www.facebook.com/368989981928740/posts/1369220498572345,,,,,175,241,5,6.29,1.0
