platform,post_id,post_date,post_url,post_message,tags,native_reach,native_impressions,native_clicks,website_resource_clicks,visibility,reach,impressions,clicks,base_engagements,base_engagement_rate,engagements,engagement_rate,native_engagement_rate,post_data_source,source_file,source_dataset,month,primary_asset_type,asset_type_source,asset_type_basis,raw_post_type
linkedin,urn:li:ugcPost:7445543972913147905,2026-04-02,https://www.linkedin.com/feed/update/urn:li:ugcPost:7445543972913147905,"Dozens of meetings, five panels and presentations, serious conversations about vaccine development and preparing for future outbreaks — it's been a busy week at the World Vaccine Congress. Here are live reactions from some of the Sabin team. 🎤   #WVCDC",Video Short; Event,790,1264,90,0,1264,1264,1264,90,35,0.027689873417721517,125,0.09889240506329114,0.098892,full_post_performance,C:\Users\JAlfaro\OneDrive - Albert B. Sabin Vaccine Institute\Desktop\SharePoint - Sabin Communications\Digital Comms Team\Social & Digital Analytics\Performance Dashboards\data\2026-04\raw_exports\linkedin_post_performance_2026-04-01_to_2026-04-30_created_on_20260515T1434Z_linkedin_post_performance.csv,linkedin_posts,2026-04,Video short,standardized_posts.tags,asset-like standardized tag,Video
linkedin,7450178496468774912,2026-04-15,https://www.linkedin.com/feed/update/urn:li:share:7450178496468774912,"The Sabin Vaccine Institute bids farewell to two members of its Board of Trustees who have had significant impact on the growth of the organization and welcomes two new members to the Board.   Sabin benefitted from the tenures of Trustees of Dr. Axel Hoos (far left), who served on the Board for 20 years, including several years as Chair, and Dr. Jacqueline Shea (second from left), CEO at Inovio Pharmaceuticals, Inc.  Joining the Sabin Board: Rene Salas (second from right) and Dr. John Paul Clark (far right).  “As we navigate a rapidly evolving R&D and global immunization landscape, their varied global and health experiences will add significantly to our Board,"" says Board Chair Dr. Regina Rabinovich.   Read more ⤵️ https://ow.ly/nAkG50YJTaG",,1535,2277,70,19,2277,2277,2277,70,41,0.018006148440931048,111,0.048748353096179184,0.048748,full_post_performance,C:\Users\JAlfaro\OneDrive - Albert B. Sabin Vaccine Institute\Desktop\SharePoint - Sabin Communications\Digital Comms Team\Social & Digital Analytics\Performance Dashboards\data\2026-04\raw_exports\linkedin_post_performance_2026-04-01_to_2026-04-30_created_on_20260515T1434Z_linkedin_post_performance.csv,linkedin_posts,2026-04,Photo,linkedin_post_performance_2026-04-01_to_2026-04-30_created_on_20260515T1434Z_linkedin_post_performance.csv,raw platform post type,Photo
linkedin,urn:li:ugcPost:7450538499264401408,2026-04-16,https://www.linkedin.com/feed/update/urn:li:ugcPost:7450538499264401408,"Join us in celebrating the tenure of Dr. Axel Hoos, who is departing the Sabin Board of Trustees after more than 20 years. 👏 His legacy includes two terms as Executive Chair, initiating a new strategic direction for the organization, and setting us on a path that includes vaccine development towards licensure. We thank him for his many years of impactful leadership.",General Sabin Staff/Org,648,1002,64,0,1002,1002,1002,64,25,0.0249500998003992,89,0.08882235528942116,0.088822,full_post_performance,C:\Users\JAlfaro\OneDrive - Albert B. Sabin Vaccine Institute\Desktop\SharePoint - Sabin Communications\Digital Comms Team\Social & Digital Analytics\Performance Dashboards\data\2026-04\raw_exports\linkedin_post_performance_2026-04-01_to_2026-04-30_created_on_20260515T1434Z_linkedin_post_performance.csv,linkedin_posts,2026-04,Video short,linkedin_post_performance_2026-04-01_to_2026-04-30_created_on_20260515T1434Z_linkedin_post_performance.csv,raw platform post type,Video
linkedin,urn:li:ugcPost:7455342677723750402,2026-04-29,https://www.linkedin.com/feed/update/urn:li:ugcPost:7455342677723750402,"""We have vaccines. We have the tools and the resources that are needed. But it's about how we can deliver those while working with countries as the ultimate decision-makers.""  This #WorldImmunizationWeek, hear from Sabin President of Global Immunization Rebecca Martin on why immunization is a critical pillar of global health security. ⤵️ #VaccinesWork",Video Short; Sabin Global Immunization; Vaccine Access & Equity,671,968,57,0,968,968,968,57,25,0.025826446280991736,82,0.08471074380165289,0.084711,full_post_performance,C:\Users\JAlfaro\OneDrive - Albert B. Sabin Vaccine Institute\Desktop\SharePoint - Sabin Communications\Digital Comms Team\Social & Digital Analytics\Performance Dashboards\data\2026-04\raw_exports\linkedin_post_performance_2026-04-01_to_2026-04-30_created_on_20260515T1434Z_linkedin_post_performance.csv,linkedin_posts,2026-04,Video short,standardized_posts.tags,asset-like standardized tag,Video
linkedin,urn:li:ugcPost:7453506825997471744,2026-04-24,https://www.linkedin.com/feed/update/urn:li:ugcPost:7453506825997471744,"What is a malariologist, and why is the work they do so important? 🦟  This #WorldMalariaDay, hear about the nuances of preventing the disease from Jason Maguire, Vice President, Clinical for Sabin's Research and Development team. Dr. Maguire, a malariologist,  studied and treated the disease for years as a physician and researcher with the U.S. Navy. ⤵️ ",Video Short; Malaria,516,796,48,0,796,796,796,48,25,0.031407035175879394,73,0.09170854271356783,0.091709,full_post_performance,C:\Users\JAlfaro\OneDrive - Albert B. Sabin Vaccine Institute\Desktop\SharePoint - Sabin Communications\Digital Comms Team\Social & Digital Analytics\Performance Dashboards\data\2026-04\raw_exports\linkedin_post_performance_2026-04-01_to_2026-04-30_created_on_20260515T1434Z_linkedin_post_performance.csv,linkedin_posts,2026-04,Video short,standardized_posts.tags,asset-like standardized tag,Video
linkedin,urn:li:ugcPost:7452363094145679360,2026-04-21,https://www.linkedin.com/feed/update/urn:li:ugcPost:7452363094145679360,"🏅 Through their unwavering dedication to innovation in the service of humanity, the 2026 Sabin Gold Medal winners have advanced immunization and inspired a generation of scientists.  As physician-scientists, entrepreneurs, and life partners, Professors Uğur Şahin, MD, and Özlem Türeci, MD, have devoted their careers to translating science into meaningful medical advances for patients.   Together they led and initiated the historic development of the first approved new technology vaccine against COVID-19, moving from lab and clinical evaluation to conditional approval within an unprecedented 11-month period. This vaccine is credited with saving millions of lives worldwide.  With their team and partners, they are also leading initiatives to contribute to build a sustainable and resilient vaccine ecosystem, contributing to improved access to novel medicines worldwide.  Read more about their work on our website and stay tuned for details on how to livestream the 2026 Sabin Awards Ceremony on May 12.  https://lnkd.in/eDrqF8_n BioNTech SE ",Photo Carousel; Sabin Awards,1000,1633,43,0,1633,1633,1633,43,58,0.03551745254133497,101,0.06184935701163503,0.061849,full_post_performance,C:\Users\JAlfaro\OneDrive - Albert B. Sabin Vaccine Institute\Desktop\SharePoint - Sabin Communications\Digital Comms Team\Social & Digital Analytics\Performance Dashboards\data\2026-04\raw_exports\linkedin_post_performance_2026-04-01_to_2026-04-30_created_on_20260515T1434Z_linkedin_post_performance.csv,linkedin_posts,2026-04,Carousel,standardized_posts.tags,asset-like standardized tag,Photo
linkedin,7445168469811228672,2026-04-01,https://www.linkedin.com/feed/update/urn:li:share:7445168469811228672,"“There is no need for the vaccine because hunger will kill my child before any vaccine-preventable disease does.”  Sabin's Boost Community is made up of immunization professionals in all parts of the world. For member Fri Delphine Chifor, who works in parts of Cameroon where conflict has stripped families of safety, income, and access to basic services, vaccines remain one of the few consistent shields children still have. But getting vaccinated can often seem like a secondary concern as parents grapple with urgent questions of where their children will sleep tonight or how they will find their next meal.  Chifor shares how  the Cameroon Baptist Convention Health Services Immunization Program started intentionally shifting the way they engaged with families, addressing what mattered most to them first and offering essential vaccines at the same time.   The impact was immediate — not only did they vaccinate more than 163,000 children in less than a year, but they also screened thousands for malnutrition, gave away mosquito nets and medications, and provided more than 13,000 caregivers with nutrition and vaccine education.  Read the full story ⤵️ https://ow.ly/ieyC50YBTBp",Single Photo; Blog; GCE/Boost; Trust in Vaccines,1020,1511,39,19,1511,1511,1511,39,38,0.02514890800794176,77,0.050959629384513566,0.05096,full_post_performance,C:\Users\JAlfaro\OneDrive - Albert B. Sabin Vaccine Institute\Desktop\SharePoint - Sabin Communications\Digital Comms Team\Social & Digital Analytics\Performance Dashboards\data\2026-04\raw_exports\linkedin_post_performance_2026-04-01_to_2026-04-30_created_on_20260515T1434Z_linkedin_post_performance.csv,linkedin_posts,2026-04,Photo,standardized_posts.tags,asset-like standardized tag,Photo
linkedin,urn:li:ugcPost:7453499207795007490,2026-04-24,https://www.linkedin.com/feed/update/urn:li:ugcPost:7453499207795007490,"They toil for years, chasing the tantalizing promise of preventing devastating disease. They often have small budgets and little recognition. Yet when they strike gold, the entire world benefits.  Vaccinologists — some of the unsung heroes of global public health – work behind the scenes in laboratories around the world seeking to end suffering and death.   For one night, they are in the spotlight.  Read about the Sabin Awards, a prestigious honor which for the past 30 years has recognized those who spent their lives saving millions of others.   And see how to join us at this year’s celebration on May 12 via livestream.",,1602,1983,33,0,1983,1983,1983,33,494,0.2491174987392839,527,0.2657589510842158,0.070096,full_post_performance,C:\Users\JAlfaro\OneDrive - Albert B. Sabin Vaccine Institute\Desktop\SharePoint - Sabin Communications\Digital Comms Team\Social & Digital Analytics\Performance Dashboards\data\2026-04\raw_exports\linkedin_post_performance_2026-04-01_to_2026-04-30_created_on_20260515T1434Z_linkedin_post_performance.csv,linkedin_posts,2026-04,Photo,manual asset override,manual review: LinkedIn newsletter static image/photo,Status
linkedin,urn:li:ugcPost:7447699070703464448,2026-04-09,https://www.linkedin.com/feed/update/urn:li:ugcPost:7447699070703464448,"From Phnom Penh, Cambodia to Kisumu, Kenya, to Washington, D.C., Sabin showcased new research and presented solutions to current barriers for those working with vaccines around the world.🌍  Read on for takeaways on typhoid prevention, malaria vaccine integration, what we learned and shared at The World Vaccine Congress, and more. ",,921,1212,30,0,1212,1212,1212,30,60,0.04950495049504951,90,0.07425742574257425,0.05033,full_post_performance,C:\Users\JAlfaro\OneDrive - Albert B. Sabin Vaccine Institute\Desktop\SharePoint - Sabin Communications\Digital Comms Team\Social & Digital Analytics\Performance Dashboards\data\2026-04\raw_exports\linkedin_post_performance_2026-04-01_to_2026-04-30_created_on_20260515T1434Z_linkedin_post_performance.csv,linkedin_posts,2026-04,Photo,manual asset override,manual review: LinkedIn newsletter static image/photo,Status
linkedin,7455698817011728384,2026-04-30,https://www.linkedin.com/feed/update/urn:li:share:7455698817011728384,"Dr. Sue Ann Costa Clemens has worked as a pediatrician in low- and middle-income countries where limited access to care generates overwhelming demand. She has worked as a vaccinologist, contributing to the development of more than 20 vaccines. And now, she is taking on what she describes as her “legacy work"" — training the next generation of vaccinologists through programs at the University of Oxford and the University of Siena, where she launched the first master’s degree in vaccinology.   In a recent episode of our web series, Getting to Zero, she spoke with us about her journey in the field, and gave insight into the skills next-gen vaccinologists need to have. Read our conversation ⤵️ https://ow.ly/PBuG50YS027 ",Static Graphic with Photo(s); Q&A,598,837,29,4,837,837,837,29,18,0.021505376344086023,47,0.056152927120669056,0.056153,full_post_performance,C:\Users\JAlfaro\OneDrive - Albert B. Sabin Vaccine Institute\Desktop\SharePoint - Sabin Communications\Digital Comms Team\Social & Digital Analytics\Performance Dashboards\data\2026-04\raw_exports\linkedin_post_performance_2026-04-01_to_2026-04-30_created_on_20260515T1434Z_linkedin_post_performance.csv,linkedin_posts,2026-04,Graphic,standardized_posts.tags,asset-like standardized tag,Photo
linkedin,urn:li:ugcPost:7450944925828972544,2026-04-17,https://www.linkedin.com/feed/update/urn:li:ugcPost:7450944925828972544,"""Although some of these rich countries have been able to get rid of the disease, many poorer countries or resource-limited countries are still fighting.""  #Typhoid remains a problem around the world — but #VaccinesWork to protect against the disease. Hear from these Sabin research partners about the work they're doing to #TakeOnTyphoid, and read Sabin President of Vaccine Epidemiology Dr. Denise Garrett, MD, MSc on the future of typhoid prevention.  🔗 https://ow.ly/YJ5j50YIt3A",Video Short; Typhoid; Blog; Sabin Global Immunization; Applied Epi & Vaccine Introduction,505,780,26,8,780,780,780,26,20,0.02564102564102564,46,0.05897435897435897,0.058974,full_post_performance,C:\Users\JAlfaro\OneDrive - Albert B. Sabin Vaccine Institute\Desktop\SharePoint - Sabin Communications\Digital Comms Team\Social & Digital Analytics\Performance Dashboards\data\2026-04\raw_exports\linkedin_post_performance_2026-04-01_to_2026-04-30_created_on_20260515T1434Z_linkedin_post_performance.csv,linkedin_posts,2026-04,Video short,standardized_posts.tags,asset-like standardized tag,Video
linkedin,7449549527046524928,2026-04-13,https://www.linkedin.com/feed/update/urn:li:share:7449549527046524928,"Sabin's Research & Development program prioritizes strong vaccine candidates for infectious diseases that lack commercial interest and disproportionately affect the world’s most vulnerable populations.   Current efforts include developing vaccines for Marburg and Ebola Sudan viruses. 🔬  Learn more about how we are powering research & development to expand life-saving vaccine access to everyone, everywhere ⤵️ https://ow.ly/wXnC50YIruW",Single Photo; Marburg; Sudan Ebolavirus; Sabin Page; Sabin R&D; Vaccine R&D,689,1034,22,17,1034,1034,1034,22,22,0.02127659574468085,44,0.0425531914893617,0.042553,full_post_performance,C:\Users\JAlfaro\OneDrive - Albert B. Sabin Vaccine Institute\Desktop\SharePoint - Sabin Communications\Digital Comms Team\Social & Digital Analytics\Performance Dashboards\data\2026-04\raw_exports\linkedin_post_performance_2026-04-01_to_2026-04-30_created_on_20260515T1434Z_linkedin_post_performance.csv,linkedin_posts,2026-04,Photo,standardized_posts.tags,asset-like standardized tag,Photo
linkedin,urn:li:ugcPost:7446934852316188672,2026-04-06,https://www.linkedin.com/feed/update/urn:li:ugcPost:7446934852316188672,"""It's very rare in one person's lifetime to be able to generate data, advocate for changes, and actually see the changes happen.""  Dr. Senjuti Saha, Sabin Rising Star Award winner and Deputy Executive Director of the Child Health Research Foundation (CHRF), shares how working with Sabin's Vaccine Epidemiology team helped deepen her organization's research and bolster their advocacy for typhoid conjugate vaccine introduction in Bangladesh.  Tune in to the Sabin Awards livestream on sabin.org May 12 as Dr. Saha receives her Rising Star Award at the National Academy of Sciences Building in Washington, D.C.!",Video Short; Applied Epi & Vaccine Introduction,540,813,21,0,813,813,813,21,16,0.01968019680196802,37,0.04551045510455105,0.04551,full_post_performance,C:\Users\JAlfaro\OneDrive - Albert B. Sabin Vaccine Institute\Desktop\SharePoint - Sabin Communications\Digital Comms Team\Social & Digital Analytics\Performance Dashboards\data\2026-04\raw_exports\linkedin_post_performance_2026-04-01_to_2026-04-30_created_on_20260515T1434Z_linkedin_post_performance.csv,linkedin_posts,2026-04,Video short,standardized_posts.tags,asset-like standardized tag,Video
linkedin,7445954594775404544,2026-04-03,https://www.linkedin.com/feed/update/urn:li:share:7445954594775404544,"Albert B. Sabin's oral polio vaccine was once given on a sugar cube.  🔥 A hot topic at this week's #WVCDC World Vaccine Congress in Washington, D.C.: the many innovative ways to deliver vaccines that are on the horizon.  Here's a look at the various methods used to deliver vaccines today ⤵️ https://ow.ly/bSGw50YE0KS",Single Photo,677,1003,18,21,1003,1003,1003,18,26,0.0259222333000997,44,0.04386839481555334,0.043868,full_post_performance,C:\Users\JAlfaro\OneDrive - Albert B. Sabin Vaccine Institute\Desktop\SharePoint - Sabin Communications\Digital Comms Team\Social & Digital Analytics\Performance Dashboards\data\2026-04\raw_exports\linkedin_post_performance_2026-04-01_to_2026-04-30_created_on_20260515T1434Z_linkedin_post_performance.csv,linkedin_posts,2026-04,Photo,standardized_posts.tags,asset-like standardized tag,Photo
linkedin,urn:li:ugcPost:7453104225959555072,2026-04-23,https://www.linkedin.com/feed/update/urn:li:ugcPost:7453104225959555072,"The hexavalent vaccine offers clear advantages over the pentavalent — fewer injections, simplified schedules, logistical efficiencies, and stronger integration of polio vaccination into routine services.   But the switch to hexavalent requires coordinated action across policy, financing, supply chains, service delivery, data systems, workforce capacity, communication, and vaccine safety surveillance.  To support countries navigating this complexity, the Hexavalent Vaccine Switch Early Adopters Workshop, convened in Dakar, Senegal in November 2025 by Sabin and Gavi, the Vaccine Alliance, brought together national immunization leaders, Immunization Technical Advisory Group (NITAG) members, regional partners, and global technical agencies from ten African countries at different stages of readiness.  To get an inside look at the insights from this meeting, see the resources guide: ⤵️ https://lnkd.in/eqFFsKSE ",Photo Carousel; Sabin Global Immunization; VAD/VARN,425,682,14,0,682,682,682,14,24,0.03519061583577713,38,0.05571847507331378,0.055718,full_post_performance,C:\Users\JAlfaro\OneDrive - Albert B. Sabin Vaccine Institute\Desktop\SharePoint - Sabin Communications\Digital Comms Team\Social & Digital Analytics\Performance Dashboards\data\2026-04\raw_exports\linkedin_post_performance_2026-04-01_to_2026-04-30_created_on_20260515T1434Z_linkedin_post_performance.csv,linkedin_posts,2026-04,Carousel,standardized_posts.tags,asset-like standardized tag,Photo
linkedin,7452773282984017920,2026-04-22,https://www.linkedin.com/feed/update/urn:li:share:7452773282984017920,"“I wish people understood how critical immunization programs are, especially during crises. Vaccines save lives, and when conflicts disrupt these services, it leaves entire communities vulnerable to outbreaks of preventable diseases.""  As Sudan enters its fourth year of war, a look back at our report last year on health care disruption there — and a reminder of how health workers continue to reach out to communities even amidst conflict.  https://ow.ly/rjMa50YLme0",,395,596,14,9,596,596,596,14,16,0.026845637583892617,30,0.050335570469798654,0.050336,full_post_performance,C:\Users\JAlfaro\OneDrive - Albert B. Sabin Vaccine Institute\Desktop\SharePoint - Sabin Communications\Digital Comms Team\Social & Digital Analytics\Performance Dashboards\data\2026-04\raw_exports\linkedin_post_performance_2026-04-01_to_2026-04-30_created_on_20260515T1434Z_linkedin_post_performance.csv,linkedin_posts,2026-04,Photo,linkedin_post_performance_2026-04-01_to_2026-04-30_created_on_20260515T1434Z_linkedin_post_performance.csv,raw platform post type,Photo
linkedin,7448475041777807362,2026-04-10,https://www.linkedin.com/feed/update/urn:li:share:7448475041777807362,"Enjoy reading news about progress in preventing disease?  Subscribe to the Sabin Vaccine Wire for global updates on research, policy, planning for outbreaks, and other essential information.  The latest issue of our free newsletter includes takeaways on typhoid prevention, malaria vaccine integration, what we learned and shared at The World Vaccine Congress, and more.  https://ow.ly/W8zJ50YHhSg",Single Photo; Newsletter Sign-Up,320,555,8,12,555,555,555,8,5,0.009009009009009009,13,0.023423423423423424,0.023423,full_post_performance,C:\Users\JAlfaro\OneDrive - Albert B. Sabin Vaccine Institute\Desktop\SharePoint - Sabin Communications\Digital Comms Team\Social & Digital Analytics\Performance Dashboards\data\2026-04\raw_exports\linkedin_post_performance_2026-04-01_to_2026-04-30_created_on_20260515T1434Z_linkedin_post_performance.csv,linkedin_posts,2026-04,Photo,standardized_posts.tags,asset-like standardized tag,Photo
