platform,post_id,post_date,post_url,post_message,tags,native_reach,native_impressions,native_clicks,website_resource_clicks,visibility,reach,impressions,clicks,base_engagements,base_engagement_rate,engagements,engagement_rate,native_engagement_rate,post_data_source,source_file,source_dataset,month,primary_asset_type,asset_type_source,asset_type_basis,raw_post_type
instagram,18108589093891365,2026-04-09,https://www.instagram.com/reel/DW6y0Lxkybf/,"When you work in vaccine development, your friends and family may or may not be able to explain exactly what you do every day... 💉Hear from a few members of Sabin's R&D team on how close their loved ones come to nailing their job description.  And as for the real work, here's an explainer on how vaccines are made safe and effective ⤵️ https://ow.ly/25BX50YChfK",Video Short; Blog; Sabin R&D,175,0,0,0,175,175,175,0,6,0.03428571428571429,6,0.03428571428571429,0.034286,full_post_performance,C:\Users\JAlfaro\OneDrive - Albert B. Sabin Vaccine Institute\Desktop\SharePoint - Sabin Communications\Digital Comms Team\Social & Digital Analytics\Performance Dashboards\data\2026-04\raw_exports\instagram_post_performance_2026-04-01_to_2026-04-30_created_on_20260518T1536Z_instagram_post_performance.csv,instagram_posts,2026-04,Video short,standardized_posts.tags,asset-like standardized tag,Reel
instagram,18263742916293157,2026-04-06,https://www.instagram.com/reel/DWy2VLhjWPw/,"""It's very rare in one person's lifetime to be able to generate data, advocate for changes, and actually see the changes happen.""  Dr. Senjuti Saha, Sabin Rising Star Award winner and Deputy Executive Director of the Child Health Research Foundation (CHRF), shares how working with Sabin's Vaccine Epidemiology team helped deepen her organization's research and bolster their advocacy for typhoid conjugate vaccine introduction in Bangladesh.  Tune in to the Sabin Awards livestream on sabin.org May 12 as Dr. Saha receives her Rising Star Award at the National Academy of Sciences Building in Washington, D.C.!",Video Short; Applied Epi & Vaccine Introduction,153,0,0,0,153,153,153,0,9,0.058823529411764705,9,0.058823529411764705,0.058824,full_post_performance,C:\Users\JAlfaro\OneDrive - Albert B. Sabin Vaccine Institute\Desktop\SharePoint - Sabin Communications\Digital Comms Team\Social & Digital Analytics\Performance Dashboards\data\2026-04\raw_exports\instagram_post_performance_2026-04-01_to_2026-04-30_created_on_20260518T1536Z_instagram_post_performance.csv,instagram_posts,2026-04,Video short,standardized_posts.tags,asset-like standardized tag,Reel
instagram,17944066650191221,2026-04-29,https://www.instagram.com/reel/DXulBYxDlyz/,"""We have vaccines. We have the tools and the resources that are needed. But it's about how we can deliver those while working with countries as the ultimate decision-makers.""  This #WorldImmunizationWeek, hear from Sabin President of Global Immunization Rebecca Martin on why immunization is a critical pillar of global health security. #VaccinesWork",Video Short; Sabin Global Immunization; Vaccine Access & Equity,141,0,0,0,141,141,141,0,7,0.04964539007092199,7,0.04964539007092199,0.049645,full_post_performance,C:\Users\JAlfaro\OneDrive - Albert B. Sabin Vaccine Institute\Desktop\SharePoint - Sabin Communications\Digital Comms Team\Social & Digital Analytics\Performance Dashboards\data\2026-04\raw_exports\instagram_post_performance_2026-04-01_to_2026-04-30_created_on_20260518T1536Z_instagram_post_performance.csv,instagram_posts,2026-04,Video short,standardized_posts.tags,asset-like standardized tag,Reel
linkedin,urn:li:ugcPost:7447375212058263554,2026-04-07,https://www.linkedin.com/feed/update/urn:li:ugcPost:7447375212058263554,"You hear it a lot — no invention has had a larger impact on human health than #vaccines.  They have saved an estimated 154 million lives over the past 50 years. That's a rate of six lives every minute.  For #WorldHealthDay this year, with the theme of #StandWithScience, we're sharing some of the science that makes vaccines effective and safe. ⤵️ ",General #VaccinesWork; Trust in Vaccines; Vaccine R&D,1224,1932,1171,0,1932,1932,1932,1171,49,0.025362318840579712,1220,0.6314699792960663,0.63147,full_post_performance,C:\Users\JAlfaro\OneDrive - Albert B. Sabin Vaccine Institute\Desktop\SharePoint - Sabin Communications\Digital Comms Team\Social & Digital Analytics\Performance Dashboards\data\2026-04\raw_exports\linkedin_post_performance_2026-04-01_to_2026-04-30_created_on_20260515T1434Z_linkedin_post_performance.csv,linkedin_posts,2026-04,Carousel,manual asset override,manual review: LinkedIn document carousel,Status
linkedin,urn:li:ugcPost:7454940085776523264,2026-04-28,https://www.linkedin.com/feed/update/urn:li:ugcPost:7454940085776523264,"The largest measles outbreak in the U.S. since 1991 has ended. Over the last six months, nearly 1,000 people — most of them unvaccinated children — were infected with the disease, and at least 21 were hospitalized with complications.  The South Carolina outbreak was focused in a county where the majority of schools had measles vaccination rates below the 95% threshold required to prevent outbreaks, and officials say the outbreak was stopped, in part, because of an uptick in getting the vaccine.  Measles can be fatal, can leave children more vulnerable to new infections for years, and can also cause dangerous, long-lasting complications, some of which may not develop until nearly a decade after infection.   See our infographic on measles below, and read more on how the South Carolina outbreak was brought under control in a story by NPR ⤵️ https://ow.ly/wPQj50YRc93",Graphics Carousel; External News Story; Measles,1349,1874,543,6,1874,1874,1874,543,57,0.030416221985058698,600,0.32017075773745995,0.320171,full_post_performance,C:\Users\JAlfaro\OneDrive - Albert B. Sabin Vaccine Institute\Desktop\SharePoint - Sabin Communications\Digital Comms Team\Social & Digital Analytics\Performance Dashboards\data\2026-04\raw_exports\linkedin_post_performance_2026-04-01_to_2026-04-30_created_on_20260515T1434Z_linkedin_post_performance.csv,linkedin_posts,2026-04,Carousel,standardized_posts.tags,asset-like standardized tag,Status
linkedin,urn:li:ugcPost:7448023228935110657,2026-04-09,https://www.linkedin.com/feed/update/urn:li:ugcPost:7448023228935110657,"More than 240 researchers, policymakers, and health experts from 38 countries convened last month at the 14th International Conference on Typhoid & Other Invasive Salmonelloses, hosted by Sabin in Phnom Penh, Cambodia.  Poster awardees (pictured holding their award certificates) presented their latest research on typhoid and paratyphoid vaccine development, cost of illness in Indonesia, serosurveillance for typhoid in Afghanistan, disease burden estimation in Cambodia, and more.  In addition, generous sponsorship from Gates Foundation, GSK, the Typhoid Vaccine Acceleration Consortium, and Bharat Biotech, allowed 66 speakers (pictured) to present findings on disease burden, the genomic evolution of drug resistance, treatment for invasive non-typhoidal Salmonella,  the impact of vaccination programs, and more to attend the conference.   Read about shaping the future of typhoid prevention ⤵ https://ow.ly/902e50YFPfw ",Photo Carousel; Typhoid; Take On Typhoid/TyVAC,964,1714,437,15,1714,1714,1714,437,61,0.03558926487747958,498,0.29054842473745623,0.290548,full_post_performance,C:\Users\JAlfaro\OneDrive - Albert B. Sabin Vaccine Institute\Desktop\SharePoint - Sabin Communications\Digital Comms Team\Social & Digital Analytics\Performance Dashboards\data\2026-04\raw_exports\linkedin_post_performance_2026-04-01_to_2026-04-30_created_on_20260515T1434Z_linkedin_post_performance.csv,linkedin_posts,2026-04,Carousel,standardized_posts.tags,asset-like standardized tag,Photo
linkedin,urn:li:ugcPost:7449821326321618944,2026-04-14,https://www.linkedin.com/feed/update/urn:li:ugcPost:7449821326321618944,"🌟 Our 2026 Rising Star awardee, Dr. Senjuti Saha, has already left a permanent mark on public health.  Under her leadership as Deputy Executive Director of the Child Health Research Foundation in Bangladesh, surveillance programs have continued to generate critical evidence for the impact of vaccines, and her landmark studies on typhoid epidemiology and antimicrobial resistance formed the scientific foundation for Bangladesh’s launch of the typhoid conjugate vaccine campaign in October 2025, where over 40 million children under the age of 15 have been vaccinated so far.  We are excited to celebrate Dr. Saha for her impactful work, and also for her compassionate, community-rooted approach to science and mentorship.   Read her full bio on our website ⤵️ and mark your calendar to join the Sabin Awards Ceremony livestream on May 12 at 6:30 p.m. on sabin.org.  https://ow.ly/GfPX50YIrEB",Photo Carousel; Sabin Awards,964,1657,359,8,1657,1657,1657,359,71,0.04284852142426071,430,0.2595051297525649,0.259505,full_post_performance,C:\Users\JAlfaro\OneDrive - Albert B. Sabin Vaccine Institute\Desktop\SharePoint - Sabin Communications\Digital Comms Team\Social & Digital Analytics\Performance Dashboards\data\2026-04\raw_exports\linkedin_post_performance_2026-04-01_to_2026-04-30_created_on_20260515T1434Z_linkedin_post_performance.csv,linkedin_posts,2026-04,Carousel,standardized_posts.tags,asset-like standardized tag,Photo
linkedin,7452064859661299712,2026-04-20,https://www.linkedin.com/feed/update/urn:li:share:7452064859661299712,"Looking for a position that makes a difference in the world? Our Research & Development team is growing, and we need people who are dedicated to vaccine science and interested in expanding vaccine access to everyone, everywhere.  Check out current openings ⤵️ https://ow.ly/ggUu50YLlHO",Single Photo; Sabin R&D; HR & Recruitment,1500,2476,272,254,2476,2476,2476,272,43,0.017366720516962843,315,0.12722132471728595,0.127221,full_post_performance,C:\Users\JAlfaro\OneDrive - Albert B. Sabin Vaccine Institute\Desktop\SharePoint - Sabin Communications\Digital Comms Team\Social & Digital Analytics\Performance Dashboards\data\2026-04\raw_exports\linkedin_post_performance_2026-04-01_to_2026-04-30_created_on_20260515T1434Z_linkedin_post_performance.csv,linkedin_posts,2026-04,Photo,standardized_posts.tags,asset-like standardized tag,Photo
linkedin,urn:li:ugcPost:7447692247724290048,2026-04-08,https://www.linkedin.com/feed/update/urn:li:ugcPost:7447692247724290048,"When you work in vaccine development, your friends and family may or may not be able to explain exactly what you do every day... 💉Hear from a few members of Sabin's R&D team on how close their loved ones come to nailing their job description.  And as for the real work, here's an explainer on how vaccines are made safe and effective ⤵️ https://ow.ly/y4H250YClMe",Video Short; Blog; Sabin R&D,1005,1506,123,10,1506,1506,1506,123,32,0.021248339973439574,155,0.10292164674634795,0.102922,full_post_performance,C:\Users\JAlfaro\OneDrive - Albert B. Sabin Vaccine Institute\Desktop\SharePoint - Sabin Communications\Digital Comms Team\Social & Digital Analytics\Performance Dashboards\data\2026-04\raw_exports\linkedin_post_performance_2026-04-01_to_2026-04-30_created_on_20260515T1434Z_linkedin_post_performance.csv,linkedin_posts,2026-04,Video short,standardized_posts.tags,asset-like standardized tag,Video
linkedin,urn:li:ugcPost:7454549986060439554,2026-04-27,https://www.linkedin.com/feed/update/urn:li:ugcPost:7454549986060439554,"Vaccines aren't just an essential public health tool — they also save individuals and communities  money. Illness can disrupt the workforce, overwhelm health care systems, and ultimately be far more expensive than the vaccines that could have prevented the disease. #VaccinesWork #WorldImmunizationWeek2026",Graphics Carousel; General #VaccinesWork,558,830,92,0,830,830,830,92,25,0.030120481927710843,117,0.14096385542168674,0.140964,full_post_performance,C:\Users\JAlfaro\OneDrive - Albert B. Sabin Vaccine Institute\Desktop\SharePoint - Sabin Communications\Digital Comms Team\Social & Digital Analytics\Performance Dashboards\data\2026-04\raw_exports\linkedin_post_performance_2026-04-01_to_2026-04-30_created_on_20260515T1434Z_linkedin_post_performance.csv,linkedin_posts,2026-04,Carousel,standardized_posts.tags,asset-like standardized tag,Status
