platform,post_id,post_date,post_url,post_message,standardized_tags,raw_post_type,raw_tags,primary_asset_type,asset_type_basis,asset_type_source,override_notes
instagram,18047821214741150,2026-04-22,https://www.instagram.com/p/DXcJx88DKln/,"English physician Dr. Edward Jenner is credited with creating the first vaccination. In 1796, he used material from cowpox (a disease related to smallpox) to inoculate 8-year-old James Phipps. Two months later, Jenner exposed Phipps to smallpox, but the child did not get the disease.  Vaccines have now saved an estimated 154 million lives — that's the equivalent of six lives every minute for the past 50 years — and the vast majority of lives saved were infants. Today, childhood vaccinations prevent an estimated 4 million deaths annually.  Learn more about the history and impact of vaccines, and how they work at the link in our bio.",Single Photo; Blog,Photo,"Asset Type: Single Photo, Promoted Content: Blog",Photo,asset-like standardized tag,standardized_posts.tags,
instagram,18088573259251172,2026-04-20,https://www.instagram.com/p/DXW108zjrJ8/,"🏅 Through their unwavering dedication to innovation in the service of humanity, the 2026 Sabin Gold Medal winners have advanced immunization and inspired a generation of scientists.  As physician-scientists, entrepreneurs, and life partners, Professors Uğur Şahin, MD, and Özlem Türeci, MD, have devoted their careers to translating science into meaningful medical advances for patients.   Together they led and initiated the historic development of the first approved new technology vaccine against COVID-19, moving from lab and clinical evaluation to conditional approval within an unprecedented 11-month period. This vaccine is credited with saving millions of lives worldwide.  With their team and partners, they are also leading initiatives to build a sustainable and resilient vaccine ecosystem, contributing to improved access to novel medicines worldwide.  Read more about their work at the link in our bio and stay tuned for details on how to livestream the 2026 Sabin Awards Ceremony on May 12.",Photo Carousel; Sabin Awards,Carousel album,"Asset Type: Photo Carousel, Topic: Sabin Awards",Carousel,asset-like standardized tag,standardized_posts.tags,
instagram,17875747530587741,2026-04-24,https://www.instagram.com/reel/DXhiONtCvyX/,"What is a malariologist, and why is the work they do so important? 🦟  This #WorldMalariaDay, hear about the nuances of preventing the disease from Jason Maguire, Vice President, Clinical for Sabin's Research and Development team. Dr. Maguire, a malariologist,  studied and treated the disease for years as a physician and researcher with the U.S. Navy.",Video Short; Malaria,Reel,"Asset Type: Video Short, Disease Area: Malaria",Video short,asset-like standardized tag,standardized_posts.tags,
instagram,18172195408400635,2026-04-17,https://www.instagram.com/reel/DXPVLNFj7ay/,"""Although some of these rich countries have been able to get rid of the disease, many poorer countries or resource-limited countries are still fighting.""  #Typhoid remains a problem around the world — but #VaccinesWork to protect against the disease. Hear from these Sabin research partners about the work they're doing to #TakeOnTyphoid.",Video Short; Typhoid; Sabin Global Immunization; Applied Epi & Vaccine Introduction,Reel,"Asset Type: Video Short, Disease Area: Typhoid, Team: Sabin Global Immunization, Theme: Applied Epi & Vaccine Introduction",Video short,asset-like standardized tag,standardized_posts.tags,
instagram,18108589093891365,2026-04-09,https://www.instagram.com/reel/DW6y0Lxkybf/,"When you work in vaccine development, your friends and family may or may not be able to explain exactly what you do every day... 💉Hear from a few members of Sabin's R&D team on how close their loved ones come to nailing their job description.  And as for the real work, here's an explainer on how vaccines are made safe and effective ⤵️ https://ow.ly/25BX50YChfK",Video Short; Blog; Sabin R&D,Reel,"Asset Type: Video Short, Promoted Content: Blog, Team: Sabin R&D",Video short,asset-like standardized tag,standardized_posts.tags,
instagram,18263742916293157,2026-04-06,https://www.instagram.com/reel/DWy2VLhjWPw/,"""It's very rare in one person's lifetime to be able to generate data, advocate for changes, and actually see the changes happen.""  Dr. Senjuti Saha, Sabin Rising Star Award winner and Deputy Executive Director of the Child Health Research Foundation (CHRF), shares how working with Sabin's Vaccine Epidemiology team helped deepen her organization's research and bolster their advocacy for typhoid conjugate vaccine introduction in Bangladesh.  Tune in to the Sabin Awards livestream on sabin.org May 12 as Dr. Saha receives her Rising Star Award at the National Academy of Sciences Building in Washington, D.C.!",Video Short; Applied Epi & Vaccine Introduction,Reel,"Asset Type: Video Short, Theme: Applied Epi & Vaccine Introduction",Video short,asset-like standardized tag,standardized_posts.tags,
instagram,17944066650191221,2026-04-29,https://www.instagram.com/reel/DXulBYxDlyz/,"""We have vaccines. We have the tools and the resources that are needed. But it's about how we can deliver those while working with countries as the ultimate decision-makers.""  This #WorldImmunizationWeek, hear from Sabin President of Global Immunization Rebecca Martin on why immunization is a critical pillar of global health security. #VaccinesWork",Video Short; Sabin Global Immunization; Vaccine Access & Equity,Reel,"Asset Type: Video Short, Team: Sabin Global Immunization, Theme: Vaccine Access & Equity",Video short,asset-like standardized tag,standardized_posts.tags,
linkedin,urn:li:ugcPost:7447375212058263554,2026-04-07,https://www.linkedin.com/feed/update/urn:li:ugcPost:7447375212058263554,"You hear it a lot — no invention has had a larger impact on human health than #vaccines.  They have saved an estimated 154 million lives over the past 50 years. That's a rate of six lives every minute.  For #WorldHealthDay this year, with the theme of #StandWithScience, we're sharing some of the science that makes vaccines effective and safe. ⤵️ ",General #VaccinesWork; Trust in Vaccines; Vaccine R&D,Status,"Theme: General #VaccinesWork, Theme: Trust in Vaccines, Theme: Vaccine R&D",Carousel,manual review: LinkedIn document carousel,manual asset override,User identified post ending 554 as a document/carousel.
linkedin,urn:li:ugcPost:7454940085776523264,2026-04-28,https://www.linkedin.com/feed/update/urn:li:ugcPost:7454940085776523264,"The largest measles outbreak in the U.S. since 1991 has ended. Over the last six months, nearly 1,000 people — most of them unvaccinated children — were infected with the disease, and at least 21 were hospitalized with complications.  The South Carolina outbreak was focused in a county where the majority of schools had measles vaccination rates below the 95% threshold required to prevent outbreaks, and officials say the outbreak was stopped, in part, because of an uptick in getting the vaccine.  Measles can be fatal, can leave children more vulnerable to new infections for years, and can also cause dangerous, long-lasting complications, some of which may not develop until nearly a decade after infection.   See our infographic on measles below, and read more on how the South Carolina outbreak was brought under control in a story by NPR ⤵️ https://ow.ly/wPQj50YRc93",Graphics Carousel; External News Story; Measles,Status,"Asset Type: Graphics Carousel, Promoted Content: External News Story, measles",Carousel,asset-like standardized tag,standardized_posts.tags,
linkedin,urn:li:ugcPost:7448023228935110657,2026-04-09,https://www.linkedin.com/feed/update/urn:li:ugcPost:7448023228935110657,"More than 240 researchers, policymakers, and health experts from 38 countries convened last month at the 14th International Conference on Typhoid & Other Invasive Salmonelloses, hosted by Sabin in Phnom Penh, Cambodia.  Poster awardees (pictured holding their award certificates) presented their latest research on typhoid and paratyphoid vaccine development, cost of illness in Indonesia, serosurveillance for typhoid in Afghanistan, disease burden estimation in Cambodia, and more.  In addition, generous sponsorship from Gates Foundation, GSK, the Typhoid Vaccine Acceleration Consortium, and Bharat Biotech, allowed 66 speakers (pictured) to present findings on disease burden, the genomic evolution of drug resistance, treatment for invasive non-typhoidal Salmonella,  the impact of vaccination programs, and more to attend the conference.   Read about shaping the future of typhoid prevention ⤵ https://ow.ly/902e50YFPfw ",Photo Carousel; Typhoid; Take On Typhoid/TyVAC,Photo,"Asset Type: Photo Carousel, Disease Area: Typhoid, Partner: Take On Typhoid/TyVAC",Carousel,asset-like standardized tag,standardized_posts.tags,
