month,post_id,post_date,platform,post_url,tag_name,tag_category,report_dimension,reach,impressions,clicks,engagement_rate,engagements_total
2026-03,205183899497146_1346683450826050,2026-03-03 17:00:55,facebook,https://www.facebook.com/368989981928740/posts/1346683450826050,Photo Carousel,Asset Type,content_format,106,182,5,8.49,1.0
2026-03,205183899497146_1347472470747148,2026-03-04 17:10:12,facebook,https://www.facebook.com/368989981928740/posts/1347472470747148,Single Photo,Asset Type,content_format,88,133,1,6.82,2.0
2026-03,205183899497146_1352013660293029,2026-03-10 13:41:51,facebook,https://www.facebook.com/368989981928740/posts/1352013660293029,Single Photo,Asset Type,content_format,84,128,0,4.76,1.0
2026-03,205183899497146_1352883770206018,2026-03-11 16:50:16,facebook,https://www.facebook.com/reel/1343948007465440/,Video Short,Asset Type,content_format,721,561,8,3.19,4.0
2026-03,205183899497146_1353761486784913,2026-03-12 18:25:13,facebook,https://www.facebook.com/368989981928740/posts/1353761486784913,Single Photo,Asset Type,content_format,91,136,1,5.49,0.0
2026-03,205183899497146_1357029069791488,2026-03-16 19:04:08,facebook,https://www.facebook.com/368989981928740/posts/1357029069791488,Single Photo,Asset Type,content_format,163,232,2,3.68,1.0
2026-03,205183899497146_1358796976281364,2026-03-18 23:00:49,facebook,https://www.facebook.com/reel/906618915342959/,Video Short,Asset Type,content_format,136,139,0,2.21,0.0
2026-03,205183899497146_1359545029539892,2026-03-19 19:38:24,facebook,https://www.facebook.com/368989981928740/posts/1359545029539892,Single Photo,Asset Type,content_format,97,138,1,4.12,0.0
2026-03,205183899497146_1363208169173578,2026-03-23 17:39:24,facebook,https://www.facebook.com/368989981928740/posts/1363208169173578,Single Photo,Asset Type,content_format,106,187,0,1.89,1.0
