month,asset_type,view,posts,reach,impressions,engagements,clicks,engagement_rate
2026-01,Graphics Carousel,overall,1,109,109,7.0,0.0,0.06422018348623854
2026-01,Single Photo,overall,5,411,411,0.0,0.0,0.0
2026-01,Static Standalone Graphic,overall,6,945,945,11.0,0.0,0.01164021164021164
2026-01,Video Short,overall,3,467,467,14.0,0.0,0.029978586723768737
