month,post_id,post_date,platform,post_url,tag_name,tag_category,report_dimension,reporting_priority,reach,impressions,clicks,engagement_rate,engagements_total
2026-01,205183899497146_1307832194711176,2026-01-17 07:00:59,facebook,https://www.facebook.com/reel/1950586902338218/,Video Short,Asset Type,content_format,low,227,227,,0.462555,0.0
2026-01,205183899497146_1307832194711176,2026-01-17 07:00:59,facebook,https://www.facebook.com/reel/1950586902338218/,GCE/Boost,Team,team,medium,227,227,,0.462555,0.0
2026-01,205183899497146_1307832194711176,2026-01-17 07:00:59,facebook,https://www.facebook.com/reel/1950586902338218/,Sabin Global Immunization,Team,team,medium,227,227,,0.462555,0.0
2026-01,205183899497146_1318448426982886,2026-01-29 22:20:18,facebook,https://www.facebook.com/368989981928740/posts/1318448426982886,Single Photo,Asset Type,content_format,low,50,50,,0.1,0.0
2026-01,205183899497146_1318448426982886,2026-01-29 22:20:18,facebook,https://www.facebook.com/368989981928740/posts/1318448426982886,,,,,50,50,,0.1,0.0
2026-01,205183899497146_1318448426982886,2026-01-29 22:20:18,facebook,https://www.facebook.com/368989981928740/posts/1318448426982886,Sabin R&D,Team,team,medium,50,50,,0.1,0.0
2026-01,205183899497146_1318448426982886,2026-01-29 22:20:18,facebook,https://www.facebook.com/368989981928740/posts/1318448426982886,Vaccine R&D,Theme,theme,medium,50,50,,0.1,0.0
2026-01,205183899497146_1316996013794794,2026-01-28 06:25:12,facebook,https://www.facebook.com/368989981928740/posts/1316996013794794,Static Standalone Graphic,Asset Type,content_format,low,62,62,,0.048387,0.0
2026-01,205183899497146_1316996013794794,2026-01-28 06:25:12,facebook,https://www.facebook.com/368989981928740/posts/1316996013794794,Webinar,Promo Content,content_type,medium,62,62,,0.048387,0.0
2026-01,205183899497146_1316996013794794,2026-01-28 06:25:12,facebook,https://www.facebook.com/368989981928740/posts/1316996013794794,GCE/Boost,Team,team,medium,62,62,,0.048387,0.0
