month,program,posts,reach,impressions,engagements,clicks,engagement_rate
2026-05,HPV,2,897,1125,12.0,23.0,0.013377926421404682
2026-05,Sudan Ebolavirus,2,597,597,8.0,0.0,0.01340033500837521
